Date,Open,High,Low,Close,Adj Close,Volume
2021-08-23,5.236000,5.248000,5.144000,5.168000,5.168000,1123987
2021-08-24,5.224000,5.224000,5.140000,5.190000,5.190000,1166057
2021-08-25,5.210000,5.210000,5.144000,5.162000,5.162000,818470
2021-08-26,5.150000,5.158000,5.102000,5.152000,5.152000,1033644
2021-08-27,5.128000,5.196000,5.128000,5.194000,5.194000,1226933
2021-08-30,5.200000,5.216000,5.132000,5.148000,5.148000,859309
2021-08-31,5.174000,5.174000,5.068000,5.074000,5.074000,2172480
2021-09-01,5.140000,5.156000,5.088000,5.144000,5.144000,1736802
2021-09-02,5.130000,5.182000,5.126000,5.176000,5.176000,1028145
2021-09-03,5.180000,5.184000,5.110000,5.124000,5.124000,965332
2021-09-06,5.116000,5.170000,5.116000,5.152000,5.152000,679524
2021-09-07,5.152000,5.168000,5.122000,5.154000,5.154000,802669
2021-09-08,5.188000,5.204000,5.070000,5.136000,5.136000,3304160
2021-09-09,5.080000,5.178000,5.062000,5.176000,5.176000,2479222
2021-09-10,5.172000,5.190000,5.114000,5.120000,5.120000,2065863
2021-09-13,5.160000,5.286000,5.160000,5.252000,5.252000,4074072
2021-09-14,5.278000,5.296000,5.190000,5.212000,5.212000,1741629
2021-09-15,5.188000,5.222000,5.110000,5.146000,5.146000,1333298
2021-09-16,5.160000,5.292000,5.158000,5.180000,5.180000,2224645
2021-09-17,5.222000,5.228000,5.146000,5.176000,5.176000,4814465
2021-09-20,5.108000,5.142000,5.062000,5.082000,5.082000,2689543
2021-09-21,5.070000,5.170000,5.070000,5.118000,5.118000,1504802
2021-09-22,5.160000,5.198000,5.134000,5.172000,5.172000,1233191
2021-09-23,5.220000,5.244000,5.188000,5.212000,5.212000,1855603
2021-09-24,5.178000,5.274000,5.160000,5.260000,5.260000,1245972
2021-09-27,5.282000,5.290000,5.214000,5.224000,5.224000,849578
2021-09-28,5.220000,5.236000,5.070000,5.128000,5.128000,2491333
2021-09-29,5.160000,5.160000,5.086000,5.092000,5.092000,1475971
2021-09-30,5.140000,5.150000,5.034000,5.080000,5.080000,2463061
2021-10-01,5.010000,5.090000,4.962000,5.080000,5.080000,1714641
2021-10-04,5.082000,5.096000,4.995000,4.995000,4.995000,1874139
2021-10-05,5.004000,5.024000,4.960000,5.022000,5.022000,2197359
2021-10-06,4.990000,4.992000,4.852000,4.902000,4.902000,2260225
2021-10-07,4.950000,4.991000,4.889000,4.987000,4.987000,1803434
2021-10-08,5.000000,5.032000,4.980000,4.994000,4.994000,2235123
2021-10-11,5.038000,5.072000,4.991000,5.008000,5.008000,1690195
2021-10-12,4.964000,5.040000,4.956000,5.036000,5.036000,2181807
2021-10-13,5.040000,5.076000,5.010000,5.020000,5.020000,1012542
2021-10-14,5.076000,5.076000,5.028000,5.060000,5.060000,839666
2021-10-15,5.074000,5.090000,5.044000,5.084000,5.084000,1170127
2021-10-18,5.060000,5.088000,5.002000,5.010000,5.010000,1104348
2021-10-19,5.020000,5.048000,4.981000,5.006000,5.006000,952568
2021-10-20,5.008000,5.076000,4.956000,5.074000,5.074000,1747743
2021-10-21,5.012000,5.114000,4.969000,5.068000,5.068000,1982566
2021-10-22,5.094000,5.144000,5.060000,5.060000,5.060000,1426503
2021-10-25,5.106000,5.194000,5.046000,5.194000,5.194000,2386015
2021-10-26,5.200000,5.330000,5.194000,5.324000,5.324000,3608828
2021-10-27,5.298000,5.390000,5.286000,5.312000,5.312000,2330998
2021-10-28,5.298000,5.360000,5.298000,5.340000,5.340000,1351883
2021-10-29,5.310000,5.350000,5.242000,5.312000,5.312000,1389460
2021-11-01,5.312000,5.376000,5.310000,5.326000,5.326000,1031515
2021-11-02,5.310000,5.348000,5.278000,5.320000,5.320000,1033265
2021-11-03,5.292000,5.406000,5.292000,5.406000,5.406000,2484385
2021-11-04,5.406000,5.458000,5.382000,5.458000,5.458000,2747939
2021-11-05,5.454000,5.606000,5.444000,5.600000,5.600000,3675186
2021-11-08,5.590000,5.610000,5.518000,5.538000,5.538000,1209926
2021-11-09,5.518000,5.576000,5.504000,5.506000,5.506000,985475
2021-11-10,5.506000,5.542000,5.464000,5.542000,5.542000,1640358
2021-11-11,5.540000,5.630000,5.492000,5.564000,5.564000,5057446
2021-11-12,5.650000,5.814000,5.636000,5.760000,5.760000,7161436
2021-11-15,5.772000,5.800000,5.730000,5.792000,5.792000,2320901
2021-11-16,5.760000,5.850000,5.760000,5.842000,5.842000,2599366
2021-11-17,5.830000,5.874000,5.798000,5.846000,5.846000,2351200
2021-11-18,5.846000,5.920000,5.780000,5.790000,5.790000,2389181
2021-11-19,5.796000,5.830000,5.660000,5.774000,5.774000,2601645
2021-11-22,5.786000,5.890000,5.744000,5.860000,5.860000,1668362
2021-11-23,5.802000,5.884000,5.782000,5.782000,5.782000,1522914
2021-11-24,5.782000,5.872000,5.782000,5.850000,5.850000,2410482
2021-11-25,5.842000,5.860000,5.704000,5.744000,5.744000,1223707
2021-11-26,5.606000,5.620000,5.462000,5.462000,5.462000,4035150
2021-11-29,5.502000,5.526000,5.386000,5.404000,5.404000,1977684
2021-11-30,5.360000,5.470000,5.304000,5.428000,5.428000,2173376
2021-12-01,5.476000,5.592000,5.450000,5.582000,5.582000,1470691
2021-12-02,5.522000,5.570000,5.510000,5.540000,5.540000,1269316
2021-12-03,5.550000,5.596000,5.520000,5.546000,5.546000,2062162
2021-12-06,5.590000,5.748000,5.572000,5.746000,5.746000,1523485
2021-12-07,5.870000,6.012000,5.850000,5.928000,5.928000,3912689
2021-12-08,5.918000,5.960000,5.878000,5.952000,5.952000,1625771
2021-12-09,5.948000,5.974000,5.926000,5.964000,5.964000,1383343
2021-12-10,5.930000,6.044000,5.888000,5.970000,5.970000,2344019
2021-12-13,6.016000,6.016000,5.904000,5.974000,5.974000,2235634
2021-12-14,5.952000,6.038000,5.920000,5.944000,5.944000,2592587
2021-12-15,5.970000,5.988000,5.916000,5.970000,5.970000,1471367
2021-12-16,6.040000,6.058000,5.990000,5.990000,5.990000,2716331
